wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Sanne Group,https://en.wikipedia.org/wiki/Sanne_Group,,Public limited company,1988,,London,Financial services,Rupert Robson (Chairman) Martin Schnaier (CEO),£(7.1) million (2021),"2,000 (2022)",£3.5 million (2021),,Apex Group,,£203.7 million (2021),,,,LSE: SNNFTSE 250 component,www.sannegroup.com
Delta Asia Financial Group,https://en.wikipedia.org/wiki/Delta_Asia_Financial_Group,,,,,,,,,,,,,,,,,,,
Bristol & West,https://en.wikipedia.org/wiki/Bristol_%26_West,United Kingdom,"originally:mutual building society until July 1997,then:public limited bank,now:banking division of Bank of Ireland","1850; 175 years ago (1850) in Bristol, England",,"One Temple Back East, Temple Quay, Bristol, England, BS1 6DX, United Kingdom",Finance and investments,John Burke (CEO)David McGowan (director),£2.6m (2010)£81.8m (2009),,£0.7m (2010)£0.7m (2009),Bank of Ireland,Bank of Ireland UK Holdings plc,"Mortgages, savings",,,£129.7m (2010),£82.2m (2010),LSE: BWSA,BankofIrelandUK.com/bristol-west-plc
Fundsmith,https://en.wikipedia.org/wiki/Fundsmith,Global,,"November 1, 2010; 15 years ago (2010-11-01) in London, England",Terry Smith,"Cavendish Square, London, England",Investment,Terry Smith CEO and CIOMark Laurence COOPaul Mainwaring CFOJulian Robins Head of Research,,59 (2023),,,,Open-ended equity funds and investment trusts,,,,,,https://www.fundsmith.co.uk
TP ICAP,https://en.wikipedia.org/wiki/TP_ICAP,,Public,1971,Derek Tullett,"London, England, UK",Banking,Richard Berliand (Chairman)Nicolas Breteau (CEO),£170 million (2024),,£236 million (2024),,,,"£2,253 million (2024)",,,,LSE: TCAPFTSE 250 component,tpicap.com/tpicap/
Fidelity International,https://en.wikipedia.org/wiki/Fidelity_International,,Private,1969,"Edward Johnson, III","Pembroke, Bermuda",Financial services,Abigail Johnson (Chairman)Anne Richards (Vice Chairman)Keith Metters (President),,"8,400+ (2020)",,,,"Investment management, mutual funds, ISAs, Pensions, Fund platforms",,Eight Roads Ventures,,,,www.fidelityinternational.com
AIA Group,https://en.wikipedia.org/wiki/AIA_Group,Asia-Pacific,Public,"19 December 1919; 105 years ago (1919-12-19) in Shanghai (as American Asiatic Underwriters, later known as AIG) 1 December 2009; 16 years ago (2009-12-01) in New York City (as American International Assurance Company, Limited)",Cornelius Vander Starr,"AIA CentralCentral, Hong Kong",Insurance and financial services,Lee Yuan Siong (President & CEO),,,,,,Life insuranceaccident and health insurancesavings plansemployee benefitsvariable contractsinvestmentssecuritiescredit life and pension services,,,US$284 billion (as of 31 December 2019),,SEHK: 1299Hang Seng Component,aia.com
VTB Bank,https://en.wikipedia.org/wiki/VTB_Bank,"Russia, CIS, Europe, Asia, Africa, US",Public (ПAO),October 1990; 35 years ago (1990-10),,"Moscow, Russia",Financial services,Andrey L. Kostin (President and Chairman of the Management Board) Anton Siluanov (Chairman of the Supervisory Council),$4.45 billion (2021),,,Federal Agency for State Property Management (60.9%),,Retail bankingcorporate bankinginvestment bankinginsuranceprivate bankingprivate equitymortgage loanscredit cardsinvestment managementwealth managementasset managementmutual fundsexchange-traded fundsindex funds,"1,185,800,000,000 Russian ruble (2017)",,$283 billion (2021),$30.2 billion (2021),MCX: VTBRLSE: VTBR,VTB.com
Arden University,https://en.wikipedia.org/wiki/Arden_University,,"Private, for-profit university",,,,,,,,,Global University Systems,,,,,,,,arden.ac.uk
Athelney Abbey,https://en.wikipedia.org/wiki/Athelney_Abbey,,,,King Alfred,,,,,,,,,,,,,,,
China Minsheng Bank,https://en.wikipedia.org/wiki/China_Minsheng_Bank,Mainland ChinaHong Kong,Publicly traded company,12 January 1996; 29 years ago (1996-01-12),,"No. 2 Fuxingmennei Avenue, Xicheng District, Beijing",Bank,,,,CNY¥137.4 billion (US$21.3 billion) (2023),Mainly private sector corporations in China,,,,,CNY¥7.64 trillion (US$1.18 trillion) (2023),,SSE: 600016SEHK: 1988SSE 50 Component,www.cmbc.com.cn
JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,Worldwide,Public,"December 1, 2000; 25 years ago (2000-12-01)",,"270 Park Avenue, New York City, United States",Financial services,Jamie Dimon (chairman & CEO)Jennifer Piepszak (COO)Daniel E. Pinto (President),US$58.47 billion (2024),"317,233 (2024)",,,,,US$177.6 billion (2024),Chase BankChase UKJ.P. Morgan & Co.One Equity Partners,US$4.003 trillion (2024),US$344.8 billion (2024),NYSE: JPMDJIA componentS&P 100 componentS&P 500 component,jpmorganchase.com
China CITIC Financial Asset Management,https://en.wikipedia.org/wiki/China_CITIC_Financial_Asset_Management,China (Mainland and Hong Kong),Public,11 November 1999; 26 years ago (1999-11-11),,"Beijing, China",Financial services,Liu Zhengjun (Chairman) Li Zimin (President),CN¥212.07 million (2023),"5,800 (2023)",,CITIC Group (26.46%)Ministry of Finance (24.76%),CITIC Group,,CN¥75.8 billion (2023),,CN¥968.10 billion (2023),CN¥48.04 billion (2023),SEHK: 2799,www.chamc.com.cn
China Pacific Insurance Company,https://en.wikipedia.org/wiki/China_Pacific_Insurance_Company,China,Public,1991; 34 years ago (1991),,"Shanghai, China",Financial services,Kong Qingwei(chairman & executive director)Huo Lianhong(executive director)Zhang Yuhua(deputy president),CN¥17.8 billion (2015),,CN¥24.3 billion (2015),Central Government of China(23.05%)Shanghai Government(21.33%)China Securities Finance(2.36%),,,CN¥247.0 billion (2015),,CN¥923.8 billion (2015),CN¥133.3 billion (2015),SSE: 601601 (A share)SEHK: 2601 (H share)LSE: CPIC,cpic.com.cn
Zhongtai Securities,https://en.wikipedia.org/wiki/Zhongtai_Securities,,Public companyState-owned,15 May 2001; 24 years ago (2001-05-15),,"Jinan, Shandong, People's Republic of China",Financial services,,CN¥3.2 billion (FY 2021),"8,771 (FY 2021)",,Shandong SASAC,,,CN¥18.16 billion (FY 2021),Zhongtai FuturesZhongtai International,CN¥204.69 billion (FY 2021),CN¥37.16 billion (FY 2021),SSE: 600918SSE 180 Component,www.zts.com.cn
China Construction Bank,https://en.wikipedia.org/wiki/China_Construction_Bank,,Public,1 October 1954; 71 years ago (1954-10-01),,"Beijing, China",Financial services,Wang Hongzhang (Chairman)Zhang Jianguo (President)Xin Shusen (Vice President),CN¥255.63 billion$37.2 billion (2018),"345,971 (2018)",CN¥308.16 billion$44.8 billion (2018),Government of China,,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,CN¥633.77 billion$175.1 billion (2020),,CN¥23.22 trillion$3.375 trillion (2018),CN¥1.992 trillion$290 billion (2018),SSE: 601939 (A share)SEHK: 939 (H share)IDX: MCOR SSE MidCap Component (A share)Hang Seng Component (H share)CSI Midcap 200,en.ccb.com
Alliance Witan,https://en.wikipedia.org/wiki/Alliance_Witan,,Public,21 April 1888; 137 years ago (1888-04-21),,"Formerly Dundee, Scotland, UK",Financial services,Dean Buckley (chairman),£53.7 million (2024),,£60.2 million (2024),,,Investment Trust,£72.5 million (2024),,"£5,596.4 million (2024)","£5,222.0 million (2024)",LSE: ALWFTSE 100 Component,www.alliancewitan.com
Kingswood School,https://en.wikipedia.org/wiki/Kingswood_School,,Private,,John Wesley,,,,,,,,,,,,,,,www.kingswood.bath.sch.uk
Sberbank,https://en.wikipedia.org/wiki/Sberbank,,Public (ПАО),As Sberegatelnaya Kassa in 1841; 184 years ago (1841) through a decree by Tsar Nicholas I (original)As Sberbank in 1991; 34 years ago (1991) (current form),,"Sberbank City, Moscow, Russia",Financial services,"Anton Siluanov (Chairman-Supervisory Board) Herman Gref (CEO, Chief Executive Officer & Member-Supervisory Board)",$17.7 billion (2023),"281,000 (2019)",$34.2 billion (2023),"National Wealth Fund, Government of Russia (50%+1 share)",,Retail bankingcorporate bankinginvestment bankinginsuranceprivate bankingprivate equitymortgage loanscredit cardsinvestment managementwealth managementasset managementmutual fundsexchange-traded fundsindex funds,$40 billion (2017),Sberbank CIB SberTech Subsidiaries in some European and post-Soviet countries,$626 billion (2023),$77.3 billion (2023),MCX: SBER,sberbank.comsberbank.ru
Artemis program,https://en.wikipedia.org/wiki/Artemis_program,,,,,,,,,,,,,,,,,,,
Direct Line Group,https://en.wikipedia.org/wiki/Direct_Line_Group,United Kingdom,Subsidiary,February 2012; 13 years ago (2012-02),Peter WoodMartin Long,"Bromley, England",Insurance,Danuta Gray (Chair of the Board)Owen Morris (Chief Executive Officer),£162.6 million (2024),"10,200 (2024)",£218.4 million (2024),Aviva,,General insuranceFinance,"£4,567.0 million (2024)",UK Insurance LimitedUK Insurance Services Limited,,,,directlinegroup.co.uk
Greater Bay Airlines,https://en.wikipedia.org/wiki/Greater_Bay_Airlines,,,24 May 2010; 15 years ago (2010-05-24)(as Donghai Airlines) 8 July 2020; 5 years ago (2020-07-08)(as Greater Bay Airlines),Bill Wong Cho-bau,"12/F, One Citygate, 20 Tat Tung Road, Tung Chung, Lantau, Hong Kong",,"Liza Ng Shiow Lan (CEO) Bill Wong Cho-bau, JP (Chairman)",,,,,,,,,,,,www.greaterbay-airlines.com
Arrow Electronics,https://en.wikipedia.org/wiki/Arrow_Electronics,,Public,"1935; 90 years ago (1935) in New York City, U.S.",,"Centennial, Colorado, U.S.",Electronics,,US$392 million (2024),"21,500+ (2024)",US$769 million (2024),,,,US$27.9 billion (2024),,US$21.8 billion (2024),US$5.76 billion (2024),NYSE: ARWS&P 400 component,arrow.com
EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,,Public,1999; 26 years ago (1999),Mark G. Papa,"Heritage PlazaHouston, Texas, U.S.",Petroleum industry,Ezra Y. Yacob (CEO & director)Timothy K. Driggers (CFO),"7,759,000,000 United States dollar (2022)","2,900 (2020)","9,966,000,000 United States dollar (2022)",,,PetroleumNatural gasNatural gas liquids,"25,702,000,000 United States dollar (2022)",,$35.804 billion (2020),$20.301 billion (2020),NYSE: EOGS&P 500 component,www.eogresources.com
Baillie Gifford Japan Trust,https://en.wikipedia.org/wiki/Baillie_Gifford_Japan_Trust,,Public,1981,,"Edinburgh, Scotland, UK",Investment management,"Matthew Brett, Trust ManagerPraveen Kumar, Deputy Manager",,,,,,,,,,,LSE: BGFDFTSE 250 component,japantrustplc.co.uk
Imagi Animation Studios,https://en.wikipedia.org/wiki/Imagi_Animation_Studios,,Public SEHK,2000; 25 years ago (2000),,"Chai Wan, Hong Kong",CGI animation,President & Co-CEO: Francis Kao Chairman: Francis Leung Pak To Executive Director & Co-CEO: Soh Szu Wei,,400 in Hong Kong,,Imagi International Holdings Limited,,,,,,,,www.imagi.com.hk
NB Private Equity Partners,https://en.wikipedia.org/wiki/NB_Private_Equity_Partners,,Public,2009; 16 years ago (2009),,"Saint Peter Port, Guernsey",,William Maltby (chair),,,,,,,,,,,LSE: NBPEFTSE 250 component,www.nbprivateequitypartners.com
Crips–Bloods gang war,https://en.wikipedia.org/wiki/Crips%E2%80%93Bloods_gang_war,,,,,,,,,,,,,,,,,,,
Shenwan Hongyuan,https://en.wikipedia.org/wiki/Shenwan_Hongyuan,,Public; state-owned enterprise,16 September 1996; 29 years ago (1996-09-16),,"Urumqi, Xinjiang, People's Republic of China",Financial services,Chu Xiaoming (Chairman),CN¥9.54 billion (FY 2021),"11,440 (FY 2021)",,,,,CN¥33.89 billion (FY 2021),,CN¥601.01 billion (FY 2021),CN¥107.06 billion (FY 2021),SZSE: 000166 (A share)SEHK: 6806 (H share)China Mainland All,www.swhygh.com
Law Debenture,https://en.wikipedia.org/wiki/Law_Debenture,,Public company,1889,,"London, United Kingdom",Financial services,"Robert Hingley (Chair, official)",£43.9 million (2024),,£47.4 million (2024),,,,£98.3 million (2024),,,,LSE: LWDBFTSE 250 component,lawdebenture.com
Marsh Supermarkets,https://en.wikipedia.org/wiki/Marsh_Supermarkets,"Central Indiana, Western Ohio",Private,"1931; 94 years ago (1931) in Muncie, Indiana",Ermal Marsh,"Indianapolis, Indiana",Retail (Grocery),"Tom O'Boyle, President and CEODon Marsh, Former President and CEO",,"9,000",,Sun Capital PartnersJT Grocery Consulting,,Grocery,,O'Malia's Food Markets (2001–2017)Village Pantry (1966–2007),,,,"marsh.net at the Wayback Machine (archived June 19, 2017)"
Hansard Global,https://en.wikipedia.org/wiki/Hansard_Global,,Public,1970; 55 years ago (1970),,"Douglas, Isle of Man",Financial services,"Dr Leonard Polonsky, Group President",£14.9 million (2015),circa 215 (2021),£14.9 million (2015),,,,£105.6m (2015),,,,LSE: HSD,www.hansard.com
Accesso,https://en.wikipedia.org/wiki/Accesso,Worldwide,Public,August 2000; 25 years ago (2000-08) (Lo-Q),Leonard Sim,"Berkshire, England","leisure, cultural, entertainment, theme park, technology","Steve Brown (CEO), Andrew Jacobs (CCO), Fern MacDonald (CFO), Bill Russell (Non-Executive Chairman)",US$25.1 million (2018): 3,"406 Seasonal (2018, avg monthly number): 79 518 Non-seasonal (2018, avg monthly number): 79",US$88.2 million (2018): 3,,,,US$118.7 million (2018): 3 [dead link][failed verification],Located in Europe and North America and Australia,US$257.5 million (2018): 55,US$181.5 million (2018): 55,LSE: ACSO,www.accesso.com
Acer Inc.,https://en.wikipedia.org/wiki/Acer_Inc.,Worldwide,Public,1 August 1976; 49 years ago (1976-08-01) in Taiwan,Stan ShihCarolyn YehLemuel Girma,"Xizhi District, New Taipei, Taiwan",Electronics,Stan Shih (Co-founder and Honorary Chairman) George Huang (Chairman) Jason Chen (CEO and President),NT$6.1 billion (2020),"9,026 (2024 December)",NT$8.9 billion (2020),,,Personal computerssmartphonesserversstoragehandheldsmonitorsLEDsLCDstelevisionsvideo projectorse-business,NT$277.1 billion (2020),"Gateway, Inc.Packard BelleMachines (now-defunct)Escom (now-defunct)",NT$183.9 billion (2020),NT$61.9 billion (2020),TWSE: 2353,acer.com
Alfa Financial Software,https://en.wikipedia.org/wiki/Alfa_Financial_Software,,Public,1990,,"London, United Kingdom",Information Technology,Andrew Page (Chairman)Andrew Denton (CEO),£15.8 million (2024),,£25.1 million (2024),,,Software,£235.5 million (2024),,,,LSE: ALFA,www.alfasystems.com
Auto Trader Group,https://en.wikipedia.org/wiki/Auto_Trader_Group,United Kingdom,Public,1977,"John Madejski, Paul Gibbons, Peter Taylor","Manchester, England, UK",Automotive trading via Internet and mobile,Matt Davies (Chairperson)Nathan Coe (CEO)Catherine Faiers (COO)Jamie Warner (CFO),£282.6 million (2025),,£376.8 million (2025),,,Vehicle advertisements,£601.1 million (2025),Autorama (acquired in 2022) Carzone (former) AutoTrader.co.za (former),,,LSE: AUTOFTSE 100 Component,www.autotrader.co.uk
Avast,https://en.wikipedia.org/wiki/Avast,Worldwide,Subsidiary,1988; 37 years ago (1988),Pavel Baudiš Eduard Kučera,"Prague, Czech Republic",Computer software,,US$169.6 million (2020),"~1,700 (2021)",US$335.4 million (2020),,Gen Digital,Cybersecurity software,US$892.9 million (2020),AVG TechnologiesPiriform SoftwareHMA,US$2.707 billion (2020),US$1.195 billion (2020),LSE: AVST (until 2022)PSE: AVST (until 2022),www.avast.com
Aveva,https://en.wikipedia.org/wiki/Aveva,Worldwide,Subsidiary,"1967; 58 years ago (1967) in Cambridge, UK",,"Cambridge, England, UK",Information Technology Technology consulting CAD/CAM Software Enterprise Asset Management Manufacturing Execution System Enterprise Solutions,Peter Herweck (Chairperson)Caspar Herzberg (CEO),£(62.6) million (2022),"6,500 (2022)",£(6.5) million (2022),,Schneider Electric (2023–present),,"£1,185.3 million (2022)",,"£6,670.5 million (2022)","£5,209.2 million (2022)",LSE: AVV (1996–2023),aveva.com
Blackbird (software),https://en.wikipedia.org/wiki/Blackbird_(software),,Video editing software,,,,,,,,,,,,,,,,,www.blackbird.video
Blancco Technology Group,https://en.wikipedia.org/wiki/Blancco_Technology_Group,,,2016; 9 years ago (2016),,United Kingdom,Data security provider,,,,,Francisco Partners(2023–present),,Mobile device diagnosticsSecure data erasure,,,,,,www.blancco.com
Blue Prism,https://en.wikipedia.org/wiki/Blue_Prism,,Subsidiary,26 July 2001; 24 years ago (2001-07-26),David MossAlastair Bathgate,"Warrington, UK",Software,,,"1,005 (2020)",,,SS&C Technologies,RPA toolsAutomation tools,£141.4 million (2020),,,,,www.blueprism.com
Brave Bison,https://en.wikipedia.org/wiki/Brave_Bison,,Public,2011 (as Rightster),,"London, United Kingdom","Digital marketing, social media, media technology, market research & consultancy, professional education","Oliver Green (Executive Chair), Theo Green (Chief Growth Officer)",,,,,,,2024: £21.3 million (net revenue) 2023: £20.9 million (net revenue) 2022: £16.9 million 2021: £7.8 million 2020: £4.0 million,,,,AIM: BBSN,Official website
Cerillion,https://en.wikipedia.org/wiki/Cerillion,,Public,1999,"Louis Hall, CEO","London, United Kingdom","Telecommunications, Software as a Service",,,,,,,,,,,,,cerillion.com
Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,Worldwide,Public,"April 1, 1976 (49 years ago) (1976-04-01), in Los Altos, California, US",Steve JobsSteve WozniakRonald Wayne,"Apple Park, Cupertino, California, US",Consumer electronicsSoftware servicesOnline services,Tim Cook (CEO)Arthur Levinson (chairman),US$112 billion (2025),"166,000 (2025)",US$133 billion (2025),,,AirPods AirTag Apple TV Apple Vision Pro Apple Watch HomePod iPad iPhone Mac,US$416 billion (2025),Apple FinancingApple StudiosBeats ElectronicsBedditBraeburn CapitalClarisGlobalstar (20%),US$359 billion (2025),US$74 billion (2025),Nasdaq: AAPLNasdaq-100 componentDJIA componentS&P 100 componentS&P 500 component,apple.com
Computacenter,https://en.wikipedia.org/wiki/Computacenter,,Public,1981,Philip HulmePeter Ogden,"Hatfield, UK",Information technologyConsultingOutsourcing,Peter Ryan (Chairman)Mike Norris (Chief Executive),£171.9 million (2024),"20,000 (2025)",£237.9 million (2024),,,,"£6,964.8 million (2024)",,,,LSE: CCCFTSE 250 component,www.computacenter.com
Dotdigital,https://en.wikipedia.org/wiki/Dotdigital,,,1999,,"London, United Kingdom",Digital marketing,Simon Bird(Co-founder)Dave Ivy(Co-Founder)Iain Anderson(Co-founder)Lewis Barclay(Co-founder)Ian (Tink) Taylor(Co-founder)John Adkins,,,,,,Software,,,,,AIM: DOTD,dotdigital.com
International Swaps and Derivatives Association,https://en.wikipedia.org/wiki/International_Swaps_and_Derivatives_Association,,Trade association,1985 (1985),,New York City,,,,,,,,,,,,,,isda.org
