wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Bank of Hope,https://en.wikipedia.org/wiki/Bank_of_Hope,Public,Nasdaq: HOPE S&P 600 component,"June 5, 2000; 25 years ago (2000-06-05)","Koreatown, Los Angeles, California, US",,,Kevin S. Kim (president) & CEO Peter J. Koh (SEVP & COO) Julianna Balicka (CFO),,$0.630 billion (2022),,$0.218 billion (2022),$18.09 billion (2022),$1.982 billion (2019),"1,545 (2022)",,www.bankofhope.com,,,,
Flagstar Financial,https://en.wikipedia.org/wiki/Flagstar_Financial,Public company,NYSE: FLGS&P 400 component,"April 14, 1859; 166 years ago (1859-04-14)","Hicksville, New York, U.S.",,,"Joseph Otting (CEO),Sandro DiNello (Chairman)",,$5.953 billion (2024),$2.152 billion (2024),$(1.159) billion (2024),$100 billion (2024),$8.167 billion (2024),"6,993 (2024)",Flagstar Bank,https://ir.flagstar.com,,Queens County Savings Bank (1859–2000)New York Community Bank (2000–2023),Banking,
Discover Financial,https://en.wikipedia.org/wiki/Discover_Financial,Subsidiary,NYSE: DFS (2007–2025),1985; 40 years ago (1985),"Riverwoods, Illinois, U.S.",,,Michael Rhodes (CEO)Thomas Maheras (chairman),,US$20.61 billion (2023),US$3.83 billion (2023),US$2.94 billion (2023),US$151.5 billion (2023),US$14.83 billion (2023),"c. 21,100 (2023)",Diners Club InternationalDiscover BankDiscover NetworkPulse,discover.com,Sears,,"Payment systems, Credit cards, Finance, Consumer banking, Loans",
Circle Internet Group,https://en.wikipedia.org/wiki/Circle_Internet_Group,,NYSE: CRCL,,"New York City, United States",,International,Jeremy Allaire (CEO & chair)Heath Tarbert (president),,US$1.7 billion (2024),,,,,,,,Jeremy AllaireSean Neville,,"USDC, EURC, USYC",
PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services,Public,NYSE: PNCS&P 500 component,"April 10, 1845; 180 years ago (1845-04-10)Operational: January 28, 1852; 173 years ago (1852-01-28)","Tower at PNC Plaza,Pittsburgh, Pennsylvania, U.S.","2,629 branches 9,523 automated teller machines (2021)",Worldwide,William S. Demchak (chairman and CEO)Mark Wiedman (president),,US$21.1 billion (2022),US$7.9 billion (2022),US$6.1 billion (2022),US$557 billion (2022),US$55.726 billion (2021),"59,426 (2021)",PNC Bank,pnc.com,,,"Consumer banking, Corporate banking, Private banking, Financial analysis, Insurance, Investment banking, Mortgage loans, Private equity, Wealth management, Credit cards",
OneMain Financial,https://en.wikipedia.org/wiki/OneMain_Financial,Public,NYSE: OMFRussell 1000 component,"1912; 113 years ago (1912) in Baltimore, Maryland, U.S.","Evansville, Indiana, United States",,U.S.,"Douglas H. Shulman(chairman, president & CEO)Jeanette Osterhout(CFO)Micah R. Conrad(COO)",,US$5.69 billion (2024),,US$509 million (2024),US$25.9 billion (2024),US$3.19 billion (2024),"9,000 (2024)",OneMain Finance Corporation,onemainfinancial.com,Alexander E. Duncan,,Personal loansInsurance,
Mechanics and Farmers Bank,https://en.wikipedia.org/wiki/Mechanics_and_Farmers_Bank,Public,OTC Pink: MFBP,"February 25, 1907 (1907-02-25)","Durham, North Carolina, United States",,,,,,,,,,,,www.mfbonline.com,"William Gaston Pearson, Richard B. Fitzgerald, J. A. Dodson, S. L. Warren, James E. Shepard, John Merrick, W. O. Stevens",,,
American River Bank,https://en.wikipedia.org/wiki/American_River_Bank,Public,Nasdaq: AMRB,1983; 42 years ago (1983),"Sacramento, California",,,David E. Ritchie (CEO),,"$23,600,000",,,,,107,,AmericanRiverBank.com,,,,
Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,Public,NYSE: HPES&P 500 component,"November 1, 2015; 10 years ago (2015-11-01) in San Jose, California","Spring, Houston, Texas, U.S.",,Worldwide,Patricia Russo(chairwoman)Antonio Neri(president and CEO),Consulting,US$30.1 billion (2024),US$2.19 billion (2024),US$2.58 billion (2024),US$71.3 billion (2024),US$24.8 billion (2024),"61,000 (2024)",Aruba NetworksCrayJuniper NetworksZertoSilver Peak SystemsAxis SecurityAthonet,hpe.com,,,Financial technologyComputer hardwareComputer softwareCloud computingInternet of Things (IoT)Artificial intelligenceComputer networking,
Atlantic Records,https://en.wikipedia.org/wiki/Atlantic_Records,,,October 1947; 78 years ago (1947-10),,,,,,,,,,,,,,Ahmet ErtegunHerb Abramson,,,
Arrow Research Corporation,https://en.wikipedia.org/wiki/Arrow_Research_Corporation,,,,,,,,,,,,,,,,,,,,
Norton Safe Web,https://en.wikipedia.org/wiki/Norton_Safe_Web,,,,,,,,,,,,,,,,safeweb.norton.com,,,,
Ally Financial,https://en.wikipedia.org/wiki/Ally_Financial,Public,NYSE: ALLYS&P 400 component,1919; 106 years ago (1919) (as General Motors Acceptance Corporation),"Ally Detroit CenterDetroit, Michigan, United States (Ally Financial)Sandy, Utah, United States (Ally Bank)Ally Charlotte CenterCharlotte, North Carolina, United States (Corporate Center)",,,Franklin W. Hobbs (chairman)Michael G. Rhodes (CEO)Russell E. Hutchinson (CFO),Car financeOnline bankingMortgage loansStockbrokerElectronic trading platform,US$5.834 billion (2024),"2,342,000,000 United States dollar (2022)",US$558 million (2023),US$191.836 billion (2024),US$13.903 billion (2024),"10,700 (2024)",,ally.com,,GMAC Inc. (1919–2010),,
Steps (pop group),https://en.wikipedia.org/wiki/Steps_(pop_group),,,,,,,,,,,,,,,,stepsofficial.co.uk,,,,
MGIC Investment Corporation,https://en.wikipedia.org/wiki/MGIC_Investment_Corporation,Public,NYSE: MTGS&P 400 component,1957,"Milwaukee, Wisconsin, U.S.",,,,,,,,,,,,www.mgic.com,Max H. Karl,,,
PRA Group,https://en.wikipedia.org/wiki/PRA_Group,,Nasdaq: PRAAS&P 600 Component,"March 1996; 29 years ago (1996-03) (as Portfolio Recovery Associates, LLC )Norfolk, Virginia, U.S.","Norfolk, Virginia, United States",,,Vikram Atal (President and CEO),,,,,,,"3,277",Anchor Receivables ManagementRDS,,,"Portfolio Recovery Associates, LLC 1996– Portfolio Recovery Associates, Inc. –2014",,
Webster Bank,https://en.wikipedia.org/wiki/Webster_Bank,Public company,NYSE: WBSS&P 400 component,"1935; 90 years ago (1935) in Waterbury, Connecticut","Stamford, Connecticut, U.S.",,,"John R. Ciulla, President and CEO James C. Smith, Chairman",,US$3.94 billion (2023),,US$868 million (2023),US$75.1 billion (2023),US$8.7 billion (2023),"Approximately 3,400",,websterbank.com,,,Banking,
Inter&Co,https://en.wikipedia.org/wiki/Inter%26Co,,,,,,,,,,,,,,,,,,,,
Moelis & Company,https://en.wikipedia.org/wiki/Moelis_%26_Company,Public,NYSE: MC (Class A)Russell 2000 ComponentS&P 600 Component,2007; 18 years ago (2007),"399 Park Avenue, New York City, US",,,Ken Moelis (Founder and Executive Chairman)Navid Mahmoodzadegan (CEO and Co-Founder)Jeff Raich (Executive Vice Chairman and Co-Founder)Eric Cantor (Vice Chairman),,$1.558 billion (2021),,,,,1107,,www.moelis.com,Ken Moelis,,Investment banking,
Mogo (company),https://en.wikipedia.org/wiki/Mogo_(company),Public,TSX: MOGO,2003,"Vancouver, British Columbia",,,,,,,,,,,Carta Worldwide,mogo.ca,David Marshall Feller,,"Personal loans, identity fraud protection, mortgages, Visa Debit card, credit score, Bitcoin wallet",
WaFd Bank,https://en.wikipedia.org/wiki/WaFd_Bank,Public,Nasdaq: WAFDS&P 600 component,"January 1, 1917; 108 years ago (1917-01-01)","Seattle, Washington, United States","210 (September 30, 2024)","Washington, Oregon, Arizona, Idaho, Nevada, Utah, New Mexico, California, Texas","Brent J. Beardall, President and Chief Executive OfficerKelli Holz, Chief Financial OfficerCathy Cooper, Chief Consumer BankerRyan Mauer, Chief Credit OfficerKim Robison, Chief Operating OfficerJames Endrizzi, Chief Commercial Banker",,,,"US$ 200 million (September 30, 2024)","US$ $26.252 billion (September 30, 2024)","US$ $2.757 billion (September 30, 2024)","2,208 (September 30, 2024)",,www.wafdbank.com,,Washington Federal,"Consumer Banking, Corporate Banking, Insurance, Investment Banking, Mortgage loans, Private Banking, Private equity, Wealth management, Credit cards, Financial Analysis",
Digital World Acquisition Corp.,https://en.wikipedia.org/wiki/Digital_World_Acquisition_Corp.,Public,Nasdaq: DWAC (2021–2024),11 December 2020; 4 years ago (2020-12-11),,,,,,,,,,,,,dwacspac.com,,,,
"PCM, Inc.","https://en.wikipedia.org/wiki/PCM,_Inc.",,,"1987; 38 years ago (1987) in Marina Del Rey, California, United States as Creative Computers Inc.","El Segundo, California, United States",,United States,,,,,,,,,,,"Frank Khulusi, Sam Khulusi","Creative Computers, Inc. (1987–2000)IdeaMall, Inc. (2000–2001)PC Mall, Inc. (2001–2012)","Computer hardware, Consumer electronics, Information technology",
Bitdeer,https://en.wikipedia.org/wiki/Bitdeer,,Nasdaq: BTDR,,Singapore,,,"Jihan Wu (Executive chairman, CEO)",,"S$485,975,304 (2023)",,,,,211 (2023),,,Jihan Wu,,,
Carver Federal Savings Bank,https://en.wikipedia.org/wiki/Carver_Federal_Savings_Bank,Public,Nasdaq: CARV,1948; 77 years ago (1948),"New York, New York, United States",,,Donald Felix (president and CEO),,,,,,,42130 (2021),,carverbank.com,,,SavingsLoans,
LPL Financial,https://en.wikipedia.org/wiki/LPL_Financial,Public,Nasdaq: LPLARussell 1000 Component,1989; 36 years ago (1989),"San Diego, California, United States",,,"Rich Steinmeier, CEOMatt Audette, President and CFO",,US$10 billion (2023),,,,,"8,400 (2023)","LPL Financial LLCLPL Insurance Associates, Inc.Fortigent LLCThe Private Trust Company",www.lpl.com,,,,
List of Mount Everest summiters by frequency,https://en.wikipedia.org/wiki/List_of_Mount_Everest_summiters_by_frequency,,,,,,,,,,,,,,,,,,,,
TriNet,https://en.wikipedia.org/wiki/TriNet,Public,NYSE: TNETRussell 2000 component,"1988, San Leandro, California, United States","Dublin, California, United States",,,"Burton Goldfield, President & CEO (2008–2024); Special Advisor (2024–)Mike Simonds, CEO (2024–)",,US$4.9 billion (2023),US$469 Million (2023),US$355 million (2023),US$3.7 billion (2023),,"3,622 (2019)",TriNet Zenefits,www.trinet.com,,,,
UMH group,https://en.wikipedia.org/wiki/UMH_group,Private,,1995,"Kyiv, Ukraine",,,"Boris Lozhkin (founder and president), Serhiy Kurchenko (owner) Olena Bondarenko (supervisory board director)",,,,,,,4400,,http://www.umh.com.ua,,,"Magazines, internet websites, radio",
Farmland Industries,https://en.wikipedia.org/wiki/Farmland_Industries,,,1929 (Union Oil Company); 1935 (Consumers Cooperative Association); 1966 (Farmland),"Kansas City, Missouri",,,,,,,,,,"16,000 (2002)","Farmers Petroleum, Inc.; Farmland Foods, Inc.; Farmland Insurance Agency; Farmland National Beef Packing Co.; Pipeline Company; Farmland Securities Co.; Farmland Transportation, Inc.",www.farmlandfoods.com,,,,
Uniti (automobile),https://en.wikipedia.org/wiki/Uniti_(automobile),Public company,,"January 1, 2016; 9 years ago (2016-01-01)","Tellusgatan 13, Lund, Sweden",,,,,,,,,,7 employees,,http://www.uniticars.com,Lewis Horne,,Uniti car,
CoreCivic,https://en.wikipedia.org/wiki/CoreCivic,Public,NYSE: CXWS&P 600 component,"January 28, 1983; 42 years ago (1983-01-28), in Nashville, Tennessee, U.S.","Brentwood, Tennessee, U.S.",,United States,Mark A. Emkes (chairman)Damon T. Hininger (president & CEO),,$1.981 billion,$281.56 million,$188.89 million,$3.792 billion,$1.377 billion,"14,075 (2019)",,www.corecivic.com,Thomas W. BeasleyT. Don Hutto Robert Crants,,,
Fiserv,https://en.wikipedia.org/wiki/Fiserv,Public,Nasdaq: FISVS&P 500 component,1984; 41 years ago (1984),"Milwaukee, Wisconsin, U.S.",,,Mike Lyons(president and CEO)Robert W. Hau(CFO and Treasurer)Takis Georgakopoulos(COO),,US$20.5 billion (2024),US$5.88 billion (2024),US$3.13 billion (2024),US$77.2 billion (2024),US$27.1 billion (2024),"c. 38,000 (2024)",,fiserv.com,,,,
American Public University System,https://en.wikipedia.org/wiki/American_Public_University_System,"Private, for-profit, online university system",,,,,,,,,,,,,,,apus.edu,,,,
Fermi paradox,https://en.wikipedia.org/wiki/Fermi_paradox,,,,,,,,,,,,,,,,,,,,
Piedmont Cable Company,https://en.wikipedia.org/wiki/Piedmont_Cable_Company,,,,,,,,,,,,,,,,,,,,
Mastercard,https://en.wikipedia.org/wiki/Mastercard,Public,NYSE: MA (Class A)S&P 100 componentS&P 500 component,1966; 59 years ago (1966),"2000 Purchase Street, Purchase, New York, U.S.",,Worldwide,Merit Janow (chair)Michael Miebach (CEO)Sachin Mehra (CFO),Credit cardsDebit cardsPayment systems,US$28.2 billion (2024),US$15.6 billion (2024),US$12.9 billion (2024),US$48.1 billion (2024),US$6.49 billion (2024),"35,300 (2024)",,mastercard.com,,,,US57636Q1040
Fish Information and Services,https://en.wikipedia.org/wiki/Fish_Information_and_Services,Private Company,,28 February 1995,"Tokyo, Japan",,Worldwide,Co-FoundersAndres Loubet-JambertYasuo Kunimitsu,,,,,,,61,,seafood.media www.fis.com – Worldwidewww.fis-net.co.jp – Japan,,,,
Chegg,https://en.wikipedia.org/wiki/Chegg,,NYSE: CHGGRussell 2000 component,July 2006; 19 years ago (2006-07),"Santa Clara, California, U.S.",,,Dan Rosensweig (chair)Nathan Schultz (president & CEO),,US$618 million (2024),−US$737 million (2024),−US$873 million (2024),US$859 million (2024),US$193 million (2024),,BusuuNotehall,,Aayush PhumbhraOsman RashidJosh Carlson,,Book rental serviceDigital textbooksE-learningOnline tutoringSocial networking service,
State income tax,https://en.wikipedia.org/wiki/State_income_tax,,,,,,,,,,,,,,,,,,,,
Redwood National and State Parks,https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks,,,,,,,,,,,,,,,,nps.gov/redw/index.htm,,,,
Bread Financial,https://en.wikipedia.org/wiki/Bread_Financial,Public,NYSE: BFHS&P 600 component,"April 22, 1983; 42 years ago (1983-04-22)","Columbus, Ohio, U.S.",,United States,Ralph Andretta (president & CEO),,US$3.84 billion (2024),US$381 million (2024),US$277 million (2024),US$22.9 billion (2024),US$3.05 billion (2024),"6,000 (2024)",Comenity BankComenity Capital Bank,breadfinancial.com,,Alliance Data Systems Corporation (1996–2022),Credit cards,
InvenTrust Properties,https://en.wikipedia.org/wiki/InvenTrust_Properties,Public company,NYSE: IVT,2004; 21 years ago (2004),"Downers Grove, Illinois",,,"Daniel J. Busch, President & CEO Michael Phillips, CFO",,$273 million (2024),,$13 million (2024),$2.635 billion (2024),$1.760 billion (2024),101 (2024),,www.inventrustproperties.com,,,Shopping malls,
Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,Public company,NYSE: DOC (2024–present)NYSE: PEAK (2019–2024)NYSE: HCP (1985–2019)S&P 500 component,1985; 40 years ago (1985),"Denver, Colorado, U.S.",,,Scott M. Brinker (President and CEO)Kelvin O. Moses (CFO),,US$7.99 billion (2024),,US$242 million (2024),US$19.38 billion (2024),US$9.055 billion (2024),387 (December 2024),,www.healthpeak.com,,"HCP, Inc. (2007–2019)Health Care Property Investors, Inc.(1985–2007)",,US42250P1030
Xometry,https://en.wikipedia.org/wiki/Xometry,Public,Nasdaq: XMTR (Class A)Russell 2000 component,2013; 12 years ago (2013),"North Bethesda, Maryland, U.S.",,,Fabio Rosati (Chairman),,,,,,,992 (December 2023),,xometry.com,Randy Altschuler (CEO)Laurence Zuriff,NextLine Manufacturing Corp.,,
Stratus Technologies,https://en.wikipedia.org/wiki/Stratus_Technologies,Private,,1980; 45 years ago (1980),,,,,,,,,,,,,Stratus.com,,,fault tolerant computer hardware and software,
Perdoceo,https://en.wikipedia.org/wiki/Perdoceo,Public,Nasdaq: PRDOS&P 600 component,,"Schaumburg, Illinois, U.S.","United States; fewer than 10 campuses, including online",,Todd S. Nelson (president and CEO),,$688.4 Million (2021),$141.8 Million (2021),$104.4 Million (2021),$899.2 Million (2021),,"4,300 (2021)",,perdoceoed.com,,,,
Laureate Education,https://en.wikipedia.org/wiki/Laureate_Education,Public,Nasdaq: LAUR (Class A)Russell 2000 Component,1998; 27 years ago (1998),"Miami, Florida, U.S.",,,Eilif Serck-Hanssen (CEO)Richard M. Buskirk (CFO),,US$1.086 billion (2021),-US$137.5 million (2021),US$203.7 million (2021),,,"24,000 (2021)",,laureate.net,Douglas L. Becker,,,
HealthEquity,https://en.wikipedia.org/wiki/HealthEquity,Public,Nasdaq: HQYS&P 400 component,1 January 2002,"Draper, Utah, U.S., Draper, UT",,,"Scott Cutler, President and CEO Steve Neeleman, Founder and Vice Chairman",,US$756.6 million (FY ended 1/31/2022),-US$24.238 million (FY ended 1/31/2022),-US$44.3 million (FY ended 1/31/2022),US$3.107 billion (FY ended 1/31/2022),US$1.852 billion (FY ended 1/31/2022),"3,688 (January 2022)",,healthequity.com,,,,
RELX,https://en.wikipedia.org/wiki/RELX,Public,LSE: RELEuronext Amsterdam: RENFTSE 100 componentAEX component,August 1993; 32 years ago (1993-08)(by merger),"London, England, UK",,,Paul Ashton Walker (chairperson)Erik Engström (CEO)Nick Luff (CFO),,£9.434 billion (2024),£2.861 billion (2024),£1.934 billion (2024),£15.13 billion (2024),£3.481 billion (2024),"36,400 (2024)",ElsevierLexisNexisRXLexisNexis Risk Solutions,www.relx.com,,Reed Elsevier plc (1993–2015),"Information and data analytics, academic and business publishing, exhibitions",GB00B2B0DG97
Corpay,https://en.wikipedia.org/wiki/Corpay,Public,NYSE: CPAYS&P 500 component,1986; 39 years ago (1986),"Terminus 100Atlanta, Georgia, U.S.",,,Ronald F. Clarke(Chairman & CEO),,US$3.97 billion (2024),US$1.79 billion (2024),US$1.00 billion (2024),US$17.9 billion (2024),US$3.15 billion (2024),"11,200 (2024)",Pacific Pride,corpay.com,,,,
The Bible: An American Translation,https://en.wikipedia.org/wiki/The_Bible:_An_American_Translation,,,,,,,,,,,,,,,,,,,,
MFA Oil,https://en.wikipedia.org/wiki/MFA_Oil,Agricultural supply cooperative,,1929; 96 years ago (1929),"Columbia, Missouri, United States",,United States,,,,,,,,"1,600+",Break Time,www.mfaoil.com,Missouri Farmers Association,,"fuel and lubrication products, petroleum and propane",
"Stride, Inc.","https://en.wikipedia.org/wiki/Stride,_Inc.",Publicly held,NYSE: LRNRussell 2000 ComponentS&P 600 component,,"Reston, Virginia, U.S.",,International,"Nathaniel B. Greene, ChairmanJames J. Rhyu, CEO",,$2.04 billion (FY 2024),$249.6 million (FY 2024),,,$1.176 billion (FY 2024),"7,800 (FY 2024)",,stridelearning.com,Ronald J. Packard,,"Education software, textbooks, workbooks",
